outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,simulation_truth_all_active_motor_units,20,23,12.940340909090908,13.356150793650794,0.4158098845598861
firing_rate,pps,simulation_truth_all_active_motor_units,20,24,13.396686159844055,14.136268343815516,0.7395821839714607
firing_rate,pps,simulation_truth_all_active_motor_units,20,25,13.111434108527133,14.08539094650206,0.9739568379749262
firing_rate,pps,simulation_truth_all_active_motor_units,20,26,13.033524904214557,13.95398773006135,0.9204628258467924
firing_rate,pps,simulation_truth_all_active_motor_units,20,27,12.919999999999998,14.074309978768579,1.1543099787685804
firing_rate,pps,simulation_truth_all_active_motor_units,20,28,13.184659090909092,14.539337474120083,1.3546783832109917
firing_rate,pps,simulation_truth_all_active_motor_units,20,29,12.729166666666664,14.182291666666666,1.4531250000000018
firing_rate,pps,simulation_truth_all_active_motor_units,20,30,12.915254237288135,13.730452674897121,0.815198437608986
firing_rate,pps,simulation_truth_all_active_motor_units,20,31,13.666666666666666,14.06145833333333,0.39479166666666465
firing_rate,pps,simulation_truth_all_active_motor_units,20,32,12.586142322097379,13.4989837398374,0.9128414177400206
firing_rate,pps,simulation_truth_all_active_motor_units,20,33,12.618131868131869,14.108384458077708,1.4902525899458396
firing_rate,pps,simulation_truth_all_active_motor_units,20,34,12.956928838951312,13.832298136645962,0.8753692976946503
firing_rate,pps,simulation_truth_all_active_motor_units,20,35,13.06704980842912,14.328125,1.26107519157088
firing_rate,pps,simulation_truth_all_active_motor_units,20,36,12.984313725490196,14.039094650205762,1.0547809247155655
firing_rate,pps,simulation_truth_all_active_motor_units,20,37,12.810344827586206,14.140461215932914,1.330116388346708
firing_rate,pps,simulation_truth_all_active_motor_units,20,38,13.222868217054263,14.73206751054852,1.509199293494257
firing_rate,pps,simulation_truth_all_active_motor_units,20,39,13.040952380952383,14.669811320754716,1.628858939802333
firing_rate,pps,simulation_truth_all_active_motor_units,20,40,13.263409961685825,14.153292181069958,0.8898822193841323
firing_rate,pps,simulation_truth_all_active_motor_units,20,41,12.696531791907514,14.05732484076433,1.3607930488568165
firing_rate,pps,simulation_truth_all_active_motor_units,20,42,12.567970204841712,14.08281573498965,1.5148455301479373
firing_rate,pps,simulation_truth_all_active_motor_units,20,43,12.694756554307116,14.375,1.6802434456928843
firing_rate,pps,simulation_truth_all_active_motor_units,20,44,13.563725490196079,14.68365180467091,1.1199263144748315
firing_rate,pps,simulation_truth_all_active_motor_units,20,45,13.140655105973027,14.742038216560509,1.6013831105874825
firing_rate,pps,simulation_truth_all_active_motor_units,20,46,13.35672514619883,13.419715447154472,0.06299030095564184
firing_rate,pps,simulation_truth_all_active_motor_units,20,47,13.254335260115605,14.338541666666666,1.0842064065510613
firing_rate,pps,simulation_truth_all_active_motor_units,20,48,12.956439393939394,14.151234567901234,1.1947951739618397
firing_rate,pps,simulation_truth_all_active_motor_units,20,49,12.870265151515154,13.470347648261757,0.6000824967466034
firing_rate,pps,simulation_truth_all_active_motor_units,50,0,16.5844250363901,16.978787878787877,0.39436284239777564
firing_rate,pps,simulation_truth_all_active_motor_units,50,1,16.657287157287158,17.601515151515155,0.9442279942279974
firing_rate,pps,simulation_truth_all_active_motor_units,50,2,16.788600288600286,18.022070015220702,1.2334697266204167
firing_rate,pps,simulation_truth_all_active_motor_units,50,3,16.93612334801762,17.5280303030303,0.5919069550126785
firing_rate,pps,simulation_truth_all_active_motor_units,50,4,16.94517543859649,17.79663608562691,0.8514606470304216
firing_rate,pps,simulation_truth_all_active_motor_units,50,5,16.666666666666668,16.926008968609864,0.25934230194319596
firing_rate,pps,simulation_truth_all_active_motor_units,50,6,16.790748898678412,17.149321266968325,0.3585723682899129
